"Feature","🆓 Free","🚀 Starter","⚡ Pro","🏢 Enterprise"
"Price","$0 / forever","$4.99 / month","$14.99 / month","$39.99 / user / month"
"Status","Live","Live","Live","🔜 Coming Soon"
"Participants per Event","100","300","1,000","5,000"
"Events Allowed","2 total","Unlimited","Unlimited","Unlimited"
"Questions per Event","3","Unlimited","Unlimited","Unlimited"
"Question Types","All 7 types","All 7 types","All 7 types","All 7 types"
"QR Code Join","✅","✅","✅","✅"
"Live Results Display","✅","✅","✅","✅"
"Export (CSV / PDF)","❌","❌","✅","✅"
"Analytics","Basic","Standard","Advanced","Advanced"
"Custom Branding","❌","❌","✅","✅"
"Customization","❌","❌","✅","✅"
"Collaboration","❌","❌","❌","✅"
"White Label","❌","❌","❌","✅"
"SSO / Auth","❌","❌","❌","✅"
"Custom Integrations","❌","❌","❌","✅"
"Dedicated Support","❌","Email","Priority Email","✅ Dedicated Manager"
"SLA","❌","❌","❌","✅"
"Best For","First-time users & testing","Freelancers & educators","Professionals & teams","Large corporates & enterprises"
